epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,10103.8,0.1815,0.21101,0.81779,0.98687,0.98889,0.9937,0.98728,0.12231,0.21234,0.79078,0.0003962,0.0003962,0.0003962
83,10169.4,0.18386,0.21127,0.82307,0.98682,0.98889,0.99413,0.9894,0.1235,0.21159,0.78908,0.0003764,0.0003764,0.0003764
84,10236,0.17938,0.21249,0.82212,0.98742,0.98889,0.99424,0.9905,0.13668,0.20078,0.7918,0.0003566,0.0003566,0.0003566
85,11311.4,0.18799,0.21914,0.81672,0.98844,0.98889,0.99414,0.98945,0.12712,0.19505,0.7908,0.0003368,0.0003368,0.0003368
86,11375.1,0.18419,0.22331,0.8235,0.98889,0.98884,0.99434,0.98918,0.13404,0.1983,0.79318,0.000317,0.000317,0.000317
87,12385.3,0.16414,0.21711,0.81971,0.9883,0.98889,0.99413,0.98897,0.12578,0.20298,0.79368,0.0002972,0.0002972,0.0002972
88,12449.1,0.17744,0.21104,0.8136,0.98801,0.98889,0.99346,0.9873,0.13205,0.19827,0.79442,0.0002774,0.0002774,0.0002774
89,12513.8,0.17161,0.22615,0.82746,0.98758,0.98889,0.99346,0.98735,0.13606,0.20159,0.79539,0.0002576,0.0002576,0.0002576
90,12671.5,0.18484,0.26612,0.83132,0.98746,0.98889,0.99335,0.98613,0.13118,0.20058,0.79399,0.0002378,0.0002378,0.0002378
91,13697.9,0.18192,0.22443,0.79037,0.98738,0.98889,0.99391,0.98846,0.13519,0.2049,0.79648,0.000218,0.000218,0.000218
92,14602.3,0.16009,0.19756,0.80909,0.98778,0.98889,0.99435,0.98957,0.13174,0.20464,0.79679,0.0001982,0.0001982,0.0001982
93,14685.3,0.15725,0.20223,0.81114,0.99803,0.98889,0.99457,0.98975,0.12368,0.20064,0.79566,0.0001784,0.0001784,0.0001784
94,14766.2,0.1544,0.19806,0.81735,0.99912,0.97778,0.99425,0.99046,0.12671,0.21124,0.79553,0.0001586,0.0001586,0.0001586
95,14832.8,0.17132,0.20201,0.81852,0.99889,0.97778,0.99425,0.98886,0.12492,0.21071,0.79538,0.0001388,0.0001388,0.0001388
96,14900.7,0.17159,0.2103,0.82449,0.9987,0.97778,0.99425,0.99152,0.11613,0.2056,0.79445,0.000119,0.000119,0.000119
97,14968.4,0.14255,0.18771,0.80793,0.99858,0.97778,0.99446,0.99067,0.11407,0.20271,0.79467,9.92e-05,9.92e-05,9.92e-05
98,15035.9,0.15222,0.18825,0.80817,0.99837,0.97778,0.99457,0.98981,0.11755,0.20098,0.79538,7.94e-05,7.94e-05,7.94e-05
99,15104,0.14671,0.18094,0.79573,0.99809,0.97778,0.99467,0.98797,0.11636,0.1978,0.79487,5.96e-05,5.96e-05,5.96e-05
100,15174,0.14817,0.18504,0.8019,1,0.98652,0.99478,0.98811,0.11436,0.19215,0.79556,3.98e-05,3.98e-05,3.98e-05
